가맹점명,소속 시장명(또는 상점가),소재지,취급품목,지류형 가맹 여부,디지털형 가맹 여부,등록년도
초마맨1981,권율 골목형상점가,경기,짜장면 짬뽕 탕수육,Y,Y,2025
못난이 꽈배기,"일곡동(제4지역:쌍용,호반,청솔2,호반일신,청솔1)",광주,꽈배기 도너츠,Y,Y,2025
일곡열쇠철물,"일곡동(제4지역:쌍용,호반,청솔2,호반일신,청솔1)",광주,열쇠,Y,Y,2025
참새 방앗간,권율 골목형상점가,경기,육전 새우전,Y,Y,2025
뿔라헤어컷,"일곡동(제4지역:쌍용,호반,청솔2,호반일신,청솔1)",광주,미용,Y,Y,2025
자인명,권율 골목형상점가,경기,음료,Y,Y,2025
농민야채청과,권선종합시장,경기,채소 등,Y,Y,2025
투다리,호남동 골목형상점가,광주,꼬치구이,Y,Y,2025
보이스&보컬 스튜디오,장원초 입구 골목형상점가,광주,발성 교정,Y,Y,2025
이화수전통육개장광주조선대점,조대 정문 골목형상점가,광주,육개장,Y,Y,2025
부산아지매국밥 죽전단국대점,단국대 앞 골목형상점가,경기,국밥,Y,Y,2025
메종드헤어0403,단국대 앞 골목형상점가,경기,헤어,Y,Y,2025
동복숯불양꼬치,단국대 앞 골목형상점가,경기,양꼬치,Y,Y,2025
꽃보다 마카롱,단국대 앞 골목형상점가,경기,마카롱,Y,Y,2025
육회말투아웃 삼송신원점,권율 골목형상점가,경기,육회,Y,Y,2025
곰돌이 당구장,단국대 앞 골목형상점가,경기,당구장,Y,Y,2025
우리들약국,권율 골목형상점가,경기,의약품,Y,Y,2025
얼큰이네,권율 골목형상점가,경기,순대국,Y,Y,2025
텐퍼센트커피 광주무등로점,계림2동발전 골목형상점가,광주,커피,Y,Y,2025
양계장집아들 신원점,권율 골목형상점가,경기,치킨,Y,Y,2025
나코네일,계림2동발전 골목형상점가,광주,네일,Y,Y,2025
제이엠 프로짐,계림2동발전 골목형상점가,광주,체육관,Y,Y,2025
남동숯불갈비,계림2동발전 골목형상점가,광주,한식,Y,Y,2025
두암타운 정육점,두암타운 골목형상점가,광주,축산,Y,Y,2025
신원cc스크린골프연습장,권율 골목형상점가,경기,골프연습장,Y,Y,2025
서방수산횟집,풍향골(제1지역:동신) 골목형상점가,광주,한식,Y,Y,2025
금메달 마트,두암타운 골목형상점가,광주,마트,Y,Y,2025
떡이야기,공주산성시장 활성화구역,충남,떡,Y,Y,2025
라임 헤어,두암타운 골목형상점가,광주,미용,Y,Y,2025
처갓집 양념치킨,두암타운 골목형상점가,광주,치킨,Y,Y,2025
피에이티서방점,풍향골(제1지역:동신) 골목형상점가,광주,레저 스포츠의류,Y,Y,2025
안경뱅크,두암타운 골목형상점가,광주,안경,Y,Y,2025
명진사진관,두암타운 골목형상점가,광주,사진관,Y,Y,2025
메가엠지씨커피 광주삼각호반점,삼각동 골목형상점가,광주,커피 및 음료,Y,Y,2025
한마음공동체,두암타운 골목형상점가,광주,슈퍼,Y,Y,2025
쉘헤어,두암타운 골목형상점가,광주,미용,Y,Y,2025
바우천막,풍향골(제1지역:동신) 골목형상점가,광주,천막제조및판매,Y,Y,2025
봄,계림2동발전 골목형상점가,광주,의류,Y,Y,2025
성지서점,풍향골(제1지역:동신) 골목형상점가,광주,서점,Y,Y,2025
라파,두암타운 골목형상점가,광주,화장품,Y,Y,2025
칠분통닭 두암점,두암타운 골목형상점가,광주,치킨,Y,Y,2025
백아골식육점,두암타운 골목형상점가,광주,식육,Y,Y,2025
본죽앤비빔밥 평택소사벌점,소사벌 골목형상점가,경기,죽 등,Y,Y,2025
새빛네일,권율 골목형상점가,경기,네일아트,Y,Y,2025
한샘인테리어 북구대리점,풍향골(제1지역:동신) 골목형상점가,광주,가구,Y,Y,2025
충남호,대명항 골목형상점가,경기,수산물,Y,Y,2025
동아호,대명항 골목형상점가,경기,어패류 등,Y,Y,2025
메디팜대암약국,동광주 골목형상점가,광주,양약,Y,Y,2025
삼송명문한의원,권율 골목형상점가,경기,한의원,Y,Y,2025
대명횟집,대명항 골목형상점가,경기,횟집,Y,Y,2025
마노아음악교습소,계림아이파크SK뷰 골목형상점가,광주,교육서비스,Y,Y,2025
김미용실,삼각동 골목형상점가,광주,미용업,Y,Y,2025
이화예술감성센터,삼각동 골목형상점가,광주,문화예술,Y,Y,2025
장봐주는 언니 일곡점,일곡동(제5지역:제1근린공원 건너편),광주,슈퍼마켓,Y,Y,2025
"사진관, 세바",권율 골목형상점가,경기,사진촬영업,Y,Y,2025
보그헤어 삼송점,권율 골목형상점가,경기,미용,Y,Y,2025
충만치킨,운리공원상인회 골목형상점가,광주,치킨,Y,Y,2025
라우헤어 신세계힐,광주캠코앞상인회 골목형상점가,광주,미용,Y,Y,2025
오유뷰티,늘해랑상인회 골목형상점가,광주,피부관리 화장,Y,Y,2025
버드앓이,권율 골목형상점가,경기,애완용품,Y,Y,2025
맑은샘 태권도장,금호상인회 골목형상점가,광주,태권도,Y,Y,2025
서울약국,정읍연지상점가,전북,의약품,Y,Y,2025
현대산부인과건강기능식품,정읍연지상점가,전북,건강식품,Y,Y,2025
신사골감자탕 안양일번가,안양1번가 상점가,경기,한식,Y,Y,2025
약손테라피,민락2지구골목형상점가,경기,피부관리,Y,Y,2025
음미,상무운천역상인회 골목형상점가,광주,음식,Y,Y,2025
한솥도시락전북대점,전북대대학로상점가,전북,도시락판매,Y,Y,2025
"유유한회사 레반트(Levant Co.,Ltd)",전북대대학로상점가,전북,할랄 음식,Y,Y,2025
종가집추어탕 ,518먹자골목상인회 골목형상점가,광주,추어탕 삼계탕 애호박찌개,Y,Y,2025
흐노니,전주동문상점가,전북,커피,Y,Y,2025
샵오구이,상무연하상인회 골목형상점가,광주,옷,Y,Y,2025
그레이스,안양1번가 상점가,경기,네일아트,Y,Y,2025
모아한우식육식당,풍암금당상인회 골목형상점가,광주,음식,Y,Y,2025
531헤어,유촌동상인회 골목형상점가,광주,미용,Y,Y,2025
어사또 자유시장점,부천자유시장,경기,건어물,Y,Y,2025
잇포,상무원마륵상인회 골목형상점가,광주,아시아음식,Y,Y,2025
민 헤어살롱,성서중심시장(성서시장문화의거리 통합),충북,미용,Y,Y,2025
다모아화장품 가발,충주자유시장,충북,화장품 가발,Y,Y,2025
중앙멸치,안양중앙인정시장,경기,건어물 등,Y,Y,2025
고운소리음악학원 ,금호상인회 골목형상점가,광주,음악학원,Y,Y,2025
정관장 남문로점,학동 남문로 골목형상점가,광주,홍삼제품,Y,Y,2025
영우카센터.클리닉,김대중컨벤션상인회 골목형상점가,광주,자동차부분정비,Y,Y,2025
가마솥닭한마리칼국수,충주자유시장,충북,한식,Y,Y,2025
이가명동찌개마을 ,외대글로벌길 골목형상점가,경기,한식,Y,Y,2025
남광주한의원 ,남문로 어울림 골목 골목형상점가,광주,한의원,Y,Y,2025
치킨마루,외대글로벌길 골목형상점가,경기,치킨,Y,Y,2025
담담주스,성안길상점가,충북,과채음료,Y,Y,2025
약손명가에스테틱광주서구점,신세계앞상인회 골목형상점가,광주,체형교정,Y,Y,2025
샵모브,성서중심시장(성서시장문화의거리 통합),충북,,Y,Y,2025
(주)원트청주,성안길상점가,충북,셔츠및블라우스,Y,Y,2025
디스커버리청주성안점,성안길상점가,충북,아웃도어 및 용품,Y,Y,2025
한숲석사태권도장,남사한숲 골목형상점가,경기,태권도,Y,Y,2025
온누리활명약국,운암1동 골목형상점가,광주,양약,Y,Y,2025
존스커피바리스타학원,상무화원상인회 골목형상점가,광주,바리스타교육,Y,Y,2025
베이커리숨 ,학운 골목형상점가,광주,제과제빵,Y,Y,2025
올데이스위트,외대글로벌길 골목형상점가,경기,케이크,Y,Y,2025
풍년,학운 골목형상점가,광주,참기름미숫가루,Y,Y,2025
바움뮤직슐레음악학원,화개 상인회 골목형상점가,광주,음악교습,Y,Y,2025
미래약국,치평동아파트연합상인회 골목형상점가,광주,의약품 및 의료기기,Y,Y,2025
크린업24 동천점,동천동벚꽃길상인회 골목형상점가,광주,서비스,Y,Y,2025
바라보다 안경,권율 골목형상점가,경기,안경 렌즈,Y,Y,2025
드로잉케이크,김대중컨벤션상인회 골목형상점가,광주,케이크,Y,Y,2025
지에스25광주대중,한미쇼핑사거리 골목형상점가,광주,편의점,Y,Y,2025
보스커피,상무화원상인회 골목형상점가,광주,커피,Y,Y,2025
목리향,권율 골목형상점가,경기,중식,Y,Y,2025
디저트39광주용산점,용산지구 골목형상점가,광주,음료,Y,Y,2025
제스토(Gesto),과천새서울프라자시장,경기,식품,Y,Y,2025
목돈72 일산신원점,권율 골목형상점가,경기,목살,Y,Y,2025
학동프라임약국,남문로 어울림 골목 골목형상점가,광주,처방조제용 전문의약품 일반의약품 동물의약품 건강기능식품 의료기기 등,Y,Y,2025
메가엠지커피 광주김대중컨벤션점,상무화원상인회 골목형상점가,광주,커피,Y,Y,2025
유라이크네일,상무화원상인회 골목형상점가,광주,네일아트,Y,Y,2025
